Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season,League
Byron Mullens,"Dec 28, '09, OKC @ NJN",20,1,13,54,7,19,0,0,0,0,3,10,1,2,0,4,13,14,.368,,,4.2,1.1,0.8,0.1,0.2,0.0,2009-10,NBA
A.J. Price,"Oct 30, '09, IND vs. MIA",23,1,56,865,145,354,60,174,60,75,12,88,106,35,3,59,53,410,.410,.345,.800,15.4,7.3,1.6,1.9,0.6,0.1,2009-10,NBA
DaJuan Summers,"Nov 4, '09, DET @ TOR",22,1,44,405,46,130,15,42,27,38,14,45,16,8,7,16,52,134,.354,.357,.711,9.2,3.0,1.0,0.4,0.2,0.2,2009-10,NBA
Jermaine Taylor,"Nov 2, '09, HOU @ UTA",23,1,31,303,45,119,5,22,33,46,21,46,16,10,3,19,15,128,.378,.227,.717,9.8,4.1,1.5,0.5,0.3,0.1,2009-10,NBA
Jeff Teague,"Oct 28, '09, ATL vs. IND",21,1,71,719,90,227,7,32,41,49,5,67,122,34,11,50,82,228,.396,.219,.837,10.1,3.2,0.9,1.7,0.5,0.2,2009-10,NBA
Garrett Temple,"Feb 9, '10, HOU @ MIA",23,1,27,334,44,101,13,37,35,50,6,31,21,13,6,27,42,136,.436,.351,.700,12.4,5.0,1.1,0.8,0.5,0.2,2009-10,NBA
Hasheem Thabeet,"Oct 28, '09, MEM vs. DET",22,1,68,883,77,131,0,0,54,93,85,243,11,15,89,43,162,208,.588,,.581,13.0,3.1,3.6,0.2,0.2,1.3,2009-10,NBA
Marcus Thornton,"Nov 6, '09, NOH vs. TOR",22,1,73,1872,398,883,117,313,144,177,72,211,114,58,11,76,127,1057,.451,.374,.814,25.6,14.5,2.9,1.6,0.8,0.2,2009-10,NBA
Reggie Williams,"Mar 2, '10, GSW @ MIA",23,1,24,782,140,283,33,92,52,62,18,110,66,23,6,29,49,365,.495,.359,.839,32.6,15.2,4.6,2.8,1.0,0.3,2009-10,NBA
Terrence Williams,"Oct 28, '09, NJN @ MIN",22,1,78,1764,261,651,31,100,103,144,46,348,223,43,10,124,126,656,.401,.310,.715,22.6,8.4,4.5,2.9,0.6,0.1,2009-10,NBA
Sam Young,"Oct 28, '09, MEM vs. DET",24,1,80,1321,224,497,11,56,136,175,77,201,52,34,20,94,106,595,.451,.196,.777,16.5,7.4,2.5,0.7,0.4,0.3,2009-10,NBA
Jessica Adair,"Aug 22, '10, MIN @ IND",23,1,1,14,1,1,0,0,3,4,4,8,0,0,0,0,4,5,1.000,,.750,14.0,5.0,8.0,0.0,0.0,0.0,2009-10,WNBA
Jayne Appel-Marinelli,"May 28, '10, SAS vs. NYL",22,1,28,306,38,71,1,3,19,34,21,71,13,7,5,19,40,96,.535,.333,.559,10.9,3.4,2.5,0.5,0.3,0.2,2009-10,WNBA
Abby Bishop,"May 22, '10, SEA @ PHO",21,1,16,109,16,45,6,24,6,11,11,20,4,2,1,12,26,44,.356,.250,.545,6.8,2.8,1.3,0.3,0.1,0.1,2009-10,WNBA
Tina Charles,"May 15, '10, CON vs. CHI",21,1,34,1054,206,423,0,1,116,152,129,398,51,25,57,71,72,528,.487,.000,.763,31.0,15.5,11.7,1.5,0.7,1.7,2009-10,WNBA
Joy Cheek,"Jul 16, '10, IND vs. ATL",22,1,7,34,5,12,1,3,4,4,0,3,1,0,0,5,7,15,.417,.333,1.000,4.9,2.1,0.4,0.1,0.0,0.0,2009-10,WNBA
Kalana Greene,"May 16, '10, NYL vs. CHI",22,1,33,519,64,138,7,21,15,24,14,54,31,13,7,36,50,150,.464,.333,.625,15.7,4.5,1.6,0.9,0.4,0.2,2009-10,WNBA
Kelsey Griffin,"May 15, '10, CON vs. CHI",22,1,34,679,48,137,13,48,41,53,43,160,36,23,17,43,64,150,.350,.271,.774,20.0,4.4,4.7,1.1,0.7,0.5,2009-10,WNBA
Allison Hightower,"May 15, '10, CON vs. CHI",22,1,20,207,19,60,3,18,13,16,10,25,9,14,2,10,23,54,.317,.167,.813,10.4,2.7,1.3,0.5,0.7,0.1,2009-10,WNBA
Ashley Houts,"May 16, '10, WAS @ MIN",22,1,20,110,6,16,3,12,2,2,4,13,9,6,0,7,9,17,.375,.250,1.000,5.5,0.9,0.7,0.5,0.3,0.0,2009-10,WNBA
Marion Jones,"May 15, '10, TUL vs. MIN",34,1,33,311,42,80,2,8,25,42,29,53,19,18,7,23,33,111,.525,.250,.595,9.4,3.4,1.6,0.6,0.5,0.2,2009-10,WNBA
Alison Lacey,"May 16, '10, SEA vs. LAS",22,1,21,144,4,35,3,27,5,5,3,16,10,6,1,8,19,16,.114,.111,1.000,6.9,0.8,0.8,0.5,0.3,0.0,2009-10,WNBA
Natasha Lacy,"May 15, '10, TUL vs. MIN",24,1,16,293,38,80,3,12,22,37,5,37,56,23,3,38,30,101,.475,.250,.595,18.3,6.3,2.3,3.5,1.4,0.2,2009-10,WNBA
Taylor Lilley,"Jun 1, '10, PHO @ MIN",22,1,21,227,23,58,14,43,10,11,3,18,15,11,1,16,18,70,.397,.326,.909,10.8,3.3,0.9,0.7,0.5,0.0,2009-10,WNBA
Gabriela Marginean,"May 15, '10, MIN @ TUL",23,1,4,12,1,5,0,0,0,0,3,4,1,1,1,1,2,2,.200,,,3.0,0.5,1.0,0.3,0.3,0.3,2009-10,WNBA
Chanel Mokango,"Jun 8, '10, LAS vs. PHO",21,1,21,72,3,17,0,2,3,4,4,13,1,2,10,5,11,9,.176,.000,.750,3.4,0.4,0.6,0.0,0.1,0.5,2009-10,WNBA
Jacinta Monroe,"May 21, '10, WAS vs. NYL",21,1,17,117,15,31,0,1,6,12,4,16,3,5,8,6,20,36,.484,.000,.500,6.9,2.1,0.9,0.2,0.3,0.5,2009-10,WNBA
Jene Morris,"May 15, '10, IND vs. WAS",22,1,25,196,28,66,14,38,2,3,3,14,12,8,2,17,28,72,.424,.368,.667,7.8,2.9,0.6,0.5,0.3,0.1,2009-10,WNBA
Abi Olajuwon,"May 16, '10, CHI @ NYL",21,1,6,30,3,6,0,0,0,0,3,4,0,1,0,2,3,6,.500,,,5.0,1.0,0.7,0.0,0.2,0.0,2009-10,WNBA
Epiphanny Prince,"May 15, '10, CHI @ CON",22,1,34,665,117,274,24,71,76,97,14,68,92,55,5,60,67,334,.427,.338,.784,19.6,9.8,2.0,2.7,1.6,0.1,2009-10,WNBA
Brittainey Raven,"May 16, '10, ATL vs. IND",21,1,23,125,11,45,5,18,7,8,12,21,10,5,1,9,12,34,.244,.278,.875,5.4,1.5,0.9,0.4,0.2,0.0,2009-10,WNBA
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,2009-10,WNBA
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,2009-10,WNBA
Andrea Riley,"May 15, '10, LAS @ PHO",21,1,29,224,27,89,15,51,31,37,5,22,29,14,1,24,23,100,.303,.294,.838,7.7,3.4,0.8,1.0,0.5,0.0,2009-10,WNBA
Amanda Thompson,"May 15, '10, TUL vs. MIN",22,1,7,49,2,14,0,0,7,10,2,11,3,3,0,4,8,11,.143,,.700,7.0,1.6,1.6,0.4,0.4,0.0,2009-10,WNBA
Jana Vesela,"May 22, '10, SEA @ PHO",26,1,29,330,35,64,6,15,16,20,16,58,18,18,7,26,28,92,.547,.400,.800,11.4,3.2,2.0,0.6,0.6,0.2,2009-10,WNBA
Monica Wright,"May 15, '10, MIN @ TUL",21,1,34,866,139,376,32,94,68,83,29,97,50,34,7,67,101,378,.370,.340,.819,25.5,11.1,2.9,1.5,1.0,0.2,2009-10,WNBA
